.33514e-05,1006.37,25.629
.0434375,1006.32,25.254
.0859253,1006.35,25.839
.127711,1006.25,26.366
.169611,1006.13,26.830
.211475,1005.94,25.153
.253968,1005.7,26.879
.297094,1005.44,25.810
.339661,1005.34,25.520
.381356,1005.41,25.880
.423947,1005.66,26.970
.465559,1005.88,26.717
.506705,1006.03,26.410
.548734,1006.18,26.502
.591414,1006.34,25.675
.633639,1006.39,26.21
.67597,1006.46,26.028
.718216,1006.53,25.387
.758819,1006.58,26.549
.799606,1006.64,26.361
.842167,1006.73,25.051
.885207,1006.81,25.735
.927683,1006.85,25.993
.970932,1007.05,26.707
.01303,1007.21,25.534
.05381,1007.35,26.616
.09423,1007.48,26.399
.13628,1007.49,26.443
.17896,1007.68,25.082
.2221,1007.78,25.864
.26466,1007.79,25.89
.30669,1007.89,25.235
.34909,1007.94,25.84
.39109,1007.92,25.118
.43445,1007.94,26.337
.47733,1007.9,26.566
.51833,1007.92,25.314
.56036,1007.95,26.267
.60219,1007.94,25.065
.64374,1007.93,26.542
.68394,1007.94,25.670
.7247,1008.0,25.969
.76597,1008.14,25.789
.80649,1008.35,25.843
.84751,1008.74,26.371
.88818,1009.14,26.36
.93026,1009.33,26.767
.97134,1009.42,25.610
.01272,1009.45,26.726
.05509,1009.57,26.178
.0963,1009.58,26.306
.13683,1009.46,26.023
.17789,1009.45,26.518
.21946,1009.51,26.156
.26055,1009.46,25.300
.30153,1009.42,25.208
.34416,1009.27,26.058
.38549,1009.25,25.307
.4269,1009.17,26.041
.46843,1009.08,25.197
.50926,1009.01,26.911
.54951,1008.93,26.666
.59219,1008.81,25.951
.63466,1008.69,26.562
.67635,1008.65,26.113
.72045,1008.63,25.476
.76638,1008.58,25.939
.80796,1008.52,25.28
.85218,1008.48,26.31
.89459,1008.41,25.580
.93657,1008.36,26.393
.97793,1008.33,25.756
.01888,1008.33,26.509
.05996,1008.29,26.813
.10099,1008.25,26.507
.14122,1008.22,25.417
.18207,1008.2,26.207
.22504,1008.18,26.854
.27005,1008.13,26.622
.31295,1008.13,26.64
.35339,1008.09,25.814
.39415,1008.08,25.361
.43519,1008.07,25.626
.4777,1008.05,26.128
.52194,1008.06,26.979
.56314,1008.01,25.232
.60605,1008.02,26.271
.64695,1008.03,26.09
