Id,Time,Flow_rate,Pressure,Proximity
1,0.039981127,0,1016.15118,0
1,0.081807137,0,1016.139666,0
1,0.123676538,0,1016.156016,0
1,0.165337324,0,1016.151255,0
1,0.207570076,0,1016.186083,0
1,0.24981904,0,1016.177925,0
1,0.292252064,0,1016.162707,0
1,0.336575031,0,1016.178477,0
1,0.37822032,0,1016.185637,0
1,0.422813654,0,1016.16336,0
1,0.466834307,0,1016.163575,0
1,0.508491039,0,1016.161906,0
1,0.552698851,0,1016.17245,0
1,0.59695816,0,1016.182888,0
1,0.641101837,0,1016.163893,0
1,0.685334682,0,1016.170939,0
1,0.729731083,0,1016.17621,0
1,0.773915052,0,1016.160711,0
1,0.818063021,0,1016.169426,0
1,0.862270117,0,1016.198754,0
1,0.906525135,0,1016.176418,0
1,0.950618029,0,1016.17814,0
1,0.994990587,0,1016.20058,0
1,1.039291382,0,1016.172974,0
1,1.083463192,0,1016.210965,0
1,1.127592325,0,1016.171355,0
1,1.171764135,0,1016.197239,0
1,1.215922356,0,1016.18174,0
1,1.260170221,0,1016.167962,0
1,1.304466486,0,1016.199013,0
1,1.348707199,0,1016.173232,0
1,1.393241167,0,1016.199116,0
1,1.435155869,0,1016.157783,0
1,1.479104757,0,1016.142283,0
1,1.521360397,0,1016.159454,0
1,1.563384533,0,1016.176779,0
1,1.605038166,0,1016.19233,0
1,1.649566174,0,1016.204488,0
1,1.694150925,0,1016.192432,0
1,1.738760471,0,1016.168218,0
1,1.782653093,0,1016.171663,0
1,1.825002909,0,1016.197599,0
1,1.867332458,0,1016.185543,0
1,1.909004211,0,1016.180325,0
1,1.953439951,0,1016.171815,0
1,1.998034239,0,1016.166598,0
1,2.042680264,0,1016.192533,0
1,2.086538553,0,1016.173588,0
1,2.128669262,0,1016.178654,0
1,2.170959473,0,1016.192584,0
1,2.212692022,0,1016.170093,0
1,2.257197857,0,1016.189139,0
1,2.298963547,0,1016.173588,0
1,2.343420267,0,1016.166749,0
1,2.387583256,0,1016.201196,0
1,2.431821108,0,1016.190912,0
1,2.475979567,0,1016.178755,0
1,2.520281076,0,1016.180477,0
1,2.564520121,0,1016.161532,0
1,2.608624935,0,1016.178704,0
1,2.652817965,0,1016.178806,0
1,2.696862221,0,1016.189139,0
1,2.741048336,0,1016.15981,0
1,2.785259962,0,1016.151198,0
1,2.829591751,0,1016.173588,0
1,2.873671532,0,1016.196079,0
1,2.918163538,0,1016.177033,0
1,2.962305784,0,1016.178856,0
1,3.006434679,0,1016.190963,0
1,3.050905943,0,1016.194407,0
1,3.095231771,0,1016.168421,0
1,3.139563799,0,1016.192584,0
1,3.183667421,0,1016.194357,0
1,3.228118181,0,1016.187417,0
1,3.272320271,0,1016.171916,0
1,3.316579819,0,1016.164977,0
1,3.360929728,0,1016.187468,0
1,3.405141592,0,1016.18225,0
1,3.449420452,0,1016.180528,0
1,3.493558645,0,1016.187518,0
1,3.537846565,0,1016.171916,0
1,3.581973553,0,1016.185796,0
1,3.626458645,0,1016.1668,0
1,3.670703411,0,1016.156466,0
1,3.715041637,0,1016.165077,0
1,3.75927186,0,1016.171967,0
1,3.803577423,0,1016.180578,0
1,3.847755432,0,1016.190963,0
1,3.891991854,0,1016.182301,0
1,3.936290741,0,1016.154743,0
1,3.980448246,0,1016.151299,0
1,4.024624109,0,1016.168522,0
1,4.069072723,0,1016.165077,0
1,4.11342597,0,1016.144409,0
1,4.157770395,0,1016.170345,0
1,4.201975346,0,1016.175512,0
1,4.246357679,0,1016.158188,0
1,4.290587902,0,1016.178956,0
1,4.334890604,0,1016.168572,0
1,4.379349947,0,1016.192685,0
1,4.423461437,0,1016.170244,0
1,4.467668056,0,1016.192635,0
1,4.510057211,0,1016.15996,0
1,4.556691647,0,1016.19618,0
1,4.598924398,0,1016.158087,0
1,4.640701294,0,1016.184073,0
1,4.685043812,0,1016.151399,0
1,4.729261875,0,1016.151449,0
1,4.773389578,0,1016.158338,0
1,4.816028833,0,1016.141064,0
1,4.859880447,0,1016.147904,0
1,4.903347015,0,1016.153121,0
1,4.945308685,0,1016.154843,0
1,4.988370657,0,1016.168672,0
1,5.031365395,0,1016.154843,0
1,5.073134899,0,1016.179056,0
1,5.117149115,0,1016.163505,0
1,5.160157204,0,1016.165327,0
1,5.204575539,0,1016.158338,0
1,5.24681139,0,1016.148103,0
1,5.288502693,0,1016.13073,0
1,5.333422661,0,1016.16705,0
1,5.375619411,0,1016.168672,0
1,5.420040369,0,1016.147954,0
1,5.462486506,0,1016.170494,0
1,5.506866693,0,1016.154893,0
1,5.551216364,0,1016.16695,0
1,5.594136238,0,1016.182551,0
1,5.638291836,0,1016.147954,0
1,5.678956509,0,1016.168672,0
1,5.720594883,0,1016.160543,0
1,5.763221025,0,1016.184657,0
1,5.803455591,0,1016.176044,0
1,5.84519577,0,1016.184756,0
1,5.886788845,0,1016.162364,0
1,5.928994656,0,1016.181311,0
1,5.970464706,0,1016.195091,0
1,6.012895107,0,1016.148585,0
1,6.053486347,0,1016.167482,0
1,6.096779823,0,1016.150208,0
1,6.139415026,0,1016.169204,0
1,6.181608915,0,1016.214137,0
1,6.222503185,0,1016.157098,0
1,6.264678955,0,1016.151931,0
1,6.305770397,0,1016.157197,0
1,6.349265099,0,1016.15198,0
1,6.389443398,0,1016.193368,0
1,6.430680275,0,1016.164087,0
1,6.472924709,0,1016.179638,0
1,6.516056061,0,1016.139972,0
1,6.557479143,0,1016.170976,0
1,6.599668264,0,1016.150258,0
1,6.641720772,0,1016.179589,0
1,6.684411764,0,1016.18825,0
1,6.727797031,0,1016.18825,0
1,6.769260883,0,1016.195091,0
1,6.810404062,0,1016.20198,0
1,6.852086067,0,1016.181311,0
1,6.892671347,0,1016.189923,0
1,6.934643745,0,1016.179539,0
1,6.976300001,0,1016.198634,0
1,7.01833725,0,1016.193418,0
1,7.059946775,0,1016.167581,0
1,7.101244688,0,1016.191646,0
1,7.143058538,0,1016.183132,0
1,7.18738699,0,1016.170927,0
1,7.228366852,0,1016.164087,0
1,7.270169973,0,1016.184756,0
1,7.311964512,0,1016.167531,0
1,7.353766203,0,1016.162364,0
1,7.395548344,0,1016.19514,0
1,7.437392473,0,1016.176144,0
1,7.47918725,0,1016.186528,0
1,7.521000862,0,1016.205574,0
1,7.562776327,0,1016.19514,0
1,7.604538679,0,1016.203802,0
1,7.646208048,0,1016.179589,0
1,7.68797946,0,1016.186577,0
1,7.729809761,0,1016.200307,0
1,7.773547649,0,1016.170976,0
1,7.817614555,0,1016.212414,0
1,7.861793041,0,1016.212265,0
1,7.905859232,0,1016.170877,0
1,7.950088263,0,1016.196713,0
1,7.994239807,0,1016.203703,0
1,8.03832221,0,1016.184224,0
1,8.082441568,0,1016.220877,0
1,8.126536369,0,1016.205326,0
1,8.170796394,0,1016.196713,0
1,8.214890242,0,1016.168672,0
1,8.258936644,0,1016.184274,0
1,8.303138971,0,1016.148103,0
1,8.345136642,0,1016.20887,0
1,8.389217377,0,1016.194991,0
1,8.433567047,0,1016.226045,0
1,8.477652311,0,1016.238102,0
1,8.522012234,0,1016.207048,0
1,8.566120625,0,1016.201498,0
1,8.610111475,0,1016.20877,0
1,8.654536009,0,1016.229489,0
1,8.698605537,0,1016.199775,0
1,8.74288249,0,1016.213504,0
1,8.786967039,0,1016.217432,0
1,8.831363201,0,1016.204892,0
1,8.875397444,0,1016.207048,0
1,8.91946125,0,1016.200158,0
1,8.963538408,0,1016.229056,0
1,9.007584333,0,1016.201498,0
1,9.0519135,0,1016.20877,0
1,9.095980883,0,1016.20877,0
1,9.140360832,0,1016.21566,0
1,9.184440136,0,1016.185996,0
1,9.228510618,0,1016.216999,0
1,9.272396803,0,1016.177284,0
1,9.316699982,0,1016.198053,0
1,9.360714674,0,1016.207048,0
1,9.404751778,0,1016.212265,0
1,9.449271202,0,1016.187718,0
1,9.493358612,0,1016.187718,0
