Run #,Time,Flow,Pressure,Proximity,Negative Flow
1,0.042117596,0,1017.012397,0,0
1,0.082306147,0,1016.997108,0,0
1,0.123950243,0,1017.019521,0,0
1,0.164394855,0,1016.993526,0,0
1,0.204710484,0,1017.033254,0,0
1,0.245563984,0,1017.014162,0,0
1,0.286631107,0,1017.043526,0,0
1,0.326957464,0,1017.036562,0,0
1,0.367620707,0,1017.020952,0,0
1,0.408647776,0,1017.027843,0,0
1,0.452783823,0,1017.031282,0,0
1,0.498069525,0,1017.022581,0,0
1,0.540891171,0,1017.008733,0,0
1,0.58498311,0,1017.048522,0,0
1,0.627415657,0,1017.032931,0,0
1,0.671643496,0,1017.041562,0,0
1,0.715774298,0,1017.032894,0,0
1,0.760366917,0,1017.046718,0,0
1,0.804474592,0,1017.048449,0,0
1,0.848774195,0,1017.041525,0,0
1,0.893454313,0,1017.01902,0,0
1,0.936534882,0,1017.032856,0,0
1,0.979216099,0,1017.013827,0,0
1,1.022462368,0,1017.062235,0,0
1,1.065885305,0,1017.03628,0,0
1,1.110578537,0,1017.04491,0,0
1,1.154990911,0,1017.055297,0,0
1,1.200209618,0,1017.04696,0,0
1,1.242729187,0,1017.043192,0,0
1,1.286154032,0,1017.06081,0,0
1,1.328089714,0,1017.046641,0,0
1,1.373907328,0,1017.069453,0,0
1,1.418565512,0,1017.046947,0,0
1,1.459495783,0,1017.050422,0,0
1,1.499900103,0,1017.040008,0,0
1,1.540254593,0,1017.041726,0,0
1,1.581029654,0,1017.067668,0,0
1,1.622854948,0,1017.036504,0,0
1,1.664592266,0,1017.046878,0,0
1,1.706274748,0,1017.046906,0,0
1,1.748027086,0,1017.041698,0,0
1,1.789847851,0,1017.052086,0,0
1,1.831556082,0,1017.067654,0,0
1,1.873356581,0,1017.041684,0,0
1,1.915108442,0,1017.062446,0,0
1,1.956742287,0,1017.046878,0,0
1,1.999089718,0,1017.052058,0,0
1,2.041022062,0,1017.069343,0,0
1,2.082827806,0,1017.05203,0,0
1,2.12454319,0,1017.069329,0,0
1,2.167999029,0,1017.043387,0,0
1,2.212279081,0,1017.020909,0,0
1,2.256308317,0,1017.055507,0,0
1,2.298238516,0,1017.048581,0,0
1,2.342458963,0,1017.098776,0,0
1,2.386582613,0,1017.065881,0,0
1,2.430650949,0,1017.064163,0,0
1,2.474883556,0,1017.041656,0,0
1,2.519156694,0,1017.062432,0,0
1,2.563128471,0,1017.031297,0,0
1,2.60719943,0,1017.04167,0,0
1,2.65166378,0,1017.031297,0,0
1,2.695658684,0,1017.064149,0,0
1,2.740026951,0,1017.015715,0,0
1,2.784241915,0,1017.015729,0,0
1,2.828279972,0,1017.034773,0,0
1,2.872434139,0,1017.020895,0,0
1,2.916919708,0,1017.036476,0,0
1,2.961467743,0,1017.045161,0,0
1,3.006040812,0,1017.034773,0,0
1,3.050425768,0,1017.057252,0,0
1,3.094544172,0,1017.01746,0,0
1,3.138695955,0,1017.024385,0,0
1,3.182908058,0,1017.026117,0,0
1,3.224859476,0,1017.050327,0,0
1,3.268967628,0,1017.034745,0,0
1,3.31303668,0,1017.013984,0,0
1,3.357424021,0,1017.017432,0,0
1,3.401706934,0,1017.052058,0,0
